id,state,lat,lon
USC00028904,AZ,34.7706,-112.0264
USC00028998,AZ,32.1264,-110.7247
USC00029114,AZ,36.9953,-111.4914
USC00029156,AZ,35.1706,-111.5067
USC00029158,AZ,34.9281,-112.8097
USC00029166,AZ,34.3117,-112.562
USC00029271,AZ,33.8214,-109.9839
USC00029287,AZ,33.9792,-112.7403
USC00029309,AZ,34.7061,-113.6136
USC00029334,AZ,32.2553,-109.8369
USC00029359,AZ,35.2406,-112.1903
USC00029376,AZ,35.8686,-114.6611
USC00029410,AZ,35.6169,-109.1244
USC00029464,AZ,33.7478,-112.5983
USC00029542,AZ,35.5247,-111.3703
USC00029562,AZ,31.4517,-110.2267
USC00029634,AZ,33.595,-112.3014
USC00029645,AZ,34.8775,-114.1344
USC00029652,AZ,32.6114,-114.635
USC00029656,AZ,32.7278,-114.6217
USC00030006,AR,35.0764,-94.2025
USC00030064,AR,35.9289,-91.0583
USC00030130,AR,34.7961,-92.8417
USC00030150,AR,34.2808,-93.4614
USC00030220,AR,34.1433,-93.0589
USC00030234,AR,33.6061,-91.2186
USC00030240,AR,34.025,-91.3444
USC00030286,AR,33.6194,-94.0994
USC00030300,AR,34.3253,-93.9811
USC00030326,AR,35.2894,-91.3533
USC00030458,AR,35.8306,-91.7944
USC00030460,AR,35.76,-91.6389
USC00030586,AR,36.3219,-94.215
USC00030616,AR,36.4294,-93.6256
USC00030664,AR,34.4619,-93.9983
USC00030746,AR,36.1067,-91.1039
USC00030764,AR,34.5697,-93.1947
USC00030798,AR,35.1161,-93.6506
USC00030806,AR,35.9239,-89.9044
USC00030814,AR,34.3267,-94.4122
USC00030832,AR,35.0931,-93.9258
USC00030936,AR,34.8822,-91.2153
USC00031102,AR,34.9817,-92.0064
USC00031132,AR,36.1092,-92.1636
USC00031140,AR,33.3111,-92.485
USC00031152,AR,33.59,-92.8236
USC00031191,AR,33.9153,-91.7711
USC00031310,AR,35.3228,-92.5672
USC00031328,AR,35.1125,-93.1661
USC00031442,AR,34.68,-91.2208
USC00031455,AR,35.4833,-93.45
USC00031457,AR,35.5328,-93.4036
USC00031459,AR,35.4564,-93.4425
USC00031492,AR,35.5836,-92.4511
USC00031508,AR,35.4364,-93.6717
USC00031596,AR,35.0833,-92.4294
USC00031632,AR,36.4197,-90.5858
USC00031666,AR,34.4314,-94.4175
USC00031730,AR,33.1111,-91.9481
USC00031750,AR,34.6886,-92.45
USC00031829,AR,35.4033,-92.3828
USC00031834,AR,35.0375,-93.3947
USC00031900,AR,35.8272,-93.2044
USC00031948,AR,34.0464,-94.3481
USC00031962,AR,33.5597,-91.385
USC00031968,AR,34.9772,-91.4978
USC00031980,AR,35.78,-94.2517
USC00032015,AR,34.1267,-94.0172
USC00032020,AR,34.1475,-94.0889
USC00032148,AR,33.8847,-91.5317
USC00032355,AR,33.1144,-91.2628
USC00032356,AR,36.4164,-93.7917
USC00032366,AR,36.0717,-91.6169
USC00032444,AR,36.1006,-94.1744
USC00032475,AR,33.0597,-92.1236
USC00032540,AR,33.8228,-92.3989
USC00032670,AR,33.6128,-93.8136
USC00032700,AR,36.4153,-92.2456
USC00032760,AR,35.1261,-91.4533
USC00032794,AR,35.9914,-92.7147
USC00032842,AR,34.3217,-93.5617
USC00032922,AR,34.8758,-93.6761
USC00032930,AR,36.4261,-94.4481
USC00032946,AR,36.3392,-93.4278
USC00032962,AR,35.2353,-92.3619
USC00032978,AR,35.5206,-91.9997
USC00033019,AR,35.68,-91.1653
USC00033132,AR,36.2747,-91.5056
USC00033164,AR,36.1956,-93.1061
USC00033200,AR,35.2872,-92.7875
USC00033242,AR,34.5211,-90.59
USC00033361,AR,36.2769,-93.8214
USC00033428,AR,33.7089,-93.5561
USC00033438,AR,34.3608,-93.6817
USC00033442,AR,33.935,-94.3586
USC00033466,AR,34.5128,-93.0486
USC00033544,AR,36.07,-93.7522
USC00033704,AR,34.6719,-93.0747
USC00033734,AR,35.8489,-90.6589
USC00033821,AR,35.6872,-90.0964
USC00033862,AR,34.6033,-91.9928
USC00033910,AR,36.1197,-93.5772
USC00034010,AR,34.8511,-92.4889
USC00034106,AR,36.4194,-92.9158
USC00034134,AR,34.1742,-92.5947
USC00034185,AR,33.3614,-93.5675
USC00034290,AR,35.5194,-93.1972
USC00034528,AR,35.0264,-90.7347
USC00034548,AR,33.295,-93.2325
USC00034562,AR,34.3947,-92.8364
USC00034572,AR,36.4947,-91.535
USC00034638,AR,34.7392,-90.7664
USC00034666,AR,35.9156,-92.6394
USC00034746,AR,36.0822,-91.9822
USC00034756,AR,34.5731,-94.2494
USC00034777,AR,35.0958,-94.3547
USC00034839,AR,33.6772,-93.9903
USC00034936,AR,33.3014,-92.3658
USC00034938,AR,35.1581,-92.7672
USC00034988,AR,34.5408,-93.5878
USC00035018,AR,35.6494,-94.1542
